pmid,mention,entity_type,tier,note
7566857,insulin-dependent diabetic,disease,Tier3_single_yuefei,
8731565,Type 2 diabetes,disease,Tier1_agree,
8731565,low-density lipoprotein (LDL),protein,Tier2_type_disagree_yuqi,
8731565,low-density lipoprotein (LDL),chemical,Tier2_type_disagree_yuefei,
8731565,oleic acid,chemical,Tier1_agree,
8731565,cholesterol,chemical,Tier2_type_disagree_yuqi,
8731565,cholesterol synthesis,biological_process,Tier2_type_disagree_yuefei,
8731565,cholesterol synthesis,biological_process,Tier3_single_yuqi,
8731565,fasting blood glucose,biomarker,Tier1_agree,
8731565,fasting serum insulin,biomarker,Tier1_agree,
8731565,linoleic acid,chemical,Tier1_agree,
8731565,Type 2 diabetic,disease,Tier3_single_yuefei,
8731565,oleic-acid-rich diet,drug,Tier3_single_yuefei,
8731565,LDL oleic acid,chemical,Tier3_single_yuefei,
8731565,mononuclear leucocytes,cell_type,Tier3_single_yuefei,
8731565,glycaemic control,clinical_outcome,Tier3_single_yuefei,
8781962,type 1 diabetes,disease,Tier1_agree,
8781962,anti-AGE antibodies,biomarker,Tier1_agree,
8781962,advanced glycation end products (AGEs),chemical,Tier1_agree,
8781962,AGE-elastin,biomarker,Tier2_type_disagree_yuqi,
8781962,AGE-elastin,protein,Tier2_type_disagree_yuefei,
8781962,long-term diabetic complications,disease,Tier2_type_disagree_yuqi,
8781962,long-term diabetic complications,clinical_outcome,Tier2_type_disagree_yuefei,
8781962,immunoenzyme assay,biological_process,Tier3_single_yuqi,type merged from medical_procedure
8781962,AGE-Hemocyanin,protein,Tier3_single_yuefei,
8781962,glycated proteins,protein,Tier3_single_yuefei,
8781962,autoantibodies,biomarker,Tier3_single_yuefei,
9300243,diabetic polyneuropathy,disease,Tier1_agree,
9300243,motor dysfunction,clinical_outcome,Tier1_agree,
9300243,muscular atrophy,clinical_outcome,Tier1_agree,
9300243,muscle strength,biomarker,Tier2_type_disagree_yuqi,
9300243,muscle strength,clinical_outcome,Tier2_type_disagree_yuefei,
9300243,muscle volume,biomarker,Tier3_single_yuqi,
9300243,magnetic resonance imaging,biological_process,Tier3_single_yuqi,type merged from medical_procedure
9300243,symptomatic neuropathy,disease,Tier3_single_yuefei,
9300243,Volume of the ankle dorsal and plantar flexors,clinical_outcome,Tier3_single_yuefei,
9300243,motor weakness,clinical_outcome,Tier3_single_yuefei,
9533990,type-1 diabetes mellitus,disease,Tier1_agree,
9533990,long-term diabetic complications,disease,Tier2_type_disagree_yuqi,
9533990,long-term complications,clinical_outcome,Tier2_type_disagree_yuefei,
9533990,glycemic control,biomarker,Tier2_type_disagree_yuqi,
9533990,tighter control,clinical_outcome,Tier2_type_disagree_yuefei,
9533990,primary care management,biological_process,Tier3_single_yuqi,type merged from medical_process
9533990,endocrine specialty care,biological_process,Tier3_single_yuqi,type merged from medical_process
10706327,systolic blood pressure (SBP),biomarker,Tier2_type_disagree_yuqi,
10706327,Systolic blood pressure (SBP),clinical_outcome,Tier2_type_disagree_yuefei,
10706327,diastolic blood pressure (DBP),biomarker,Tier2_type_disagree_yuqi,
10706327,diastolic blood pressure (DBP),clinical_outcome,Tier2_type_disagree_yuefei,
10706327,cardiovascular disease (CVD),disease,Tier1_agree,
10706327,isolated systolic hypertension (ISH),disease,Tier1_agree,
10706327,non-insulin-dependent diabetes mellitus (NIDDM),disease,Tier1_agree,
10706327,myocardial infarction (MI),disease,Tier1_agree,
10706327,stroke,disease,Tier1_agree,
10706327,heart failure,disease,Tier1_agree,
10706327,hypertension,disease,Tier1_agree,
10706327,morbidity,clinical_outcome,Tier3_single_yuefei,
10706327,mortality,clinical_outcome,Tier3_single_yuefei,
10706327,antihypertensive drugs,drug,Tier3_single_yuefei,
10829521,chronic pancreatitis,disease,Tier1_agree,
10829521,pain,clinical_outcome,Tier1_agree,
10829521,fat malabsorption,clinical_outcome,Tier3_single_yuqi,
10829521,protein malabsorption,clinical_outcome,Tier3_single_yuqi,
10829521,diabetes,disease,Tier1_agree,
10829521,pancreatic extracts,drug,Tier1_agree,
10829521,insulin,protein,Tier2_type_disagree_yuqi,
10829521,insulin,drug,Tier2_type_disagree_yuefei,
10829521,diabetic ketoacidosis,disease,Tier1_agree,
10829521,microvascular changes,clinical_outcome,Tier1_agree,
10829521,type 1 diabetes,disease,Tier1_agree,
10829521,medical therapy,drug,Tier3_single_yuefei,
10829521,Malabsorption of fat and protein,clinical_outcome,Tier3_single_yuefei,
10829521,lipase,protein,Tier3_single_yuefei,
10829521,gastric acid,chemical,Tier3_single_yuefei,
10905497,type 1 diabetes,disease,Tier1_agree,
10905497,nitric oxide (NO),chemical,Tier1_agree,
10905497,free radicals,chemical,Tier2_type_disagree_yuqi,
10905497,free radical activity,biological_process,Tier2_type_disagree_yuefei,
10905497,microvascular disease,disease,Tier1_agree,
10905497,isoprostane,biomarker,Tier1_agree,
10905497,lipid peroxidation,biological_process,Tier1_agree,
10905497,urinary albumin excretion,biomarker,Tier1_agree,
10905497,reactive oxygen species,chemical,Tier1_agree,
10905497,15N-nitrate,chemical,Tier3_single_yuefei,
10905497,L-[15N]2-arginine,chemical,Tier3_single_yuefei,
10905497,"2,3-dinor-5,6-dihydro-F2t-IsoP",biomarker,Tier3_single_yuefei,
10905497,NO synthesis,biological_process,Tier3_single_yuefei,
11323502,insulin-dependent diabetes mellitus,disease,Tier1_agree,
11323502,renal failure,disease,Tier1_agree,
11323502,acute rejection,disease,Tier2_type_disagree_yuqi,
11323502,rejection,clinical_outcome,Tier2_type_disagree_yuefei,
11323502,hemolytic-uremic syndrome,disease,Tier1_agree,
11323502,postoperative bleeding,disease,Tier2_type_disagree_yuqi,
11323502,postoperative bleeding,clinical_outcome,Tier2_type_disagree_yuefei,
11323502,wound infection,disease,Tier2_type_disagree_yuqi,
11323502,Postoperative wound infections,clinical_outcome,Tier2_type_disagree_yuefei,
11323502,anastomotic leak,disease,Tier2_type_disagree_yuqi,
11323502,anastomotic leak,clinical_outcome,Tier2_type_disagree_yuefei,
11323502,duodenal bleeding,disease,Tier3_single_yuqi,
11323502,HLA,gene,Tier1_agree,
11323502,amylase,protein,Tier2_type_disagree_yuqi,
11323502,ostomy amylase,biomarker,Tier2_type_disagree_yuefei,
11323502,ostomy amylase,biomarker,Tier3_single_yuqi,
11323502,pancreatic function,biological_process,Tier3_single_yuqi,
11323502,pancreatic graft survival,clinical_outcome,Tier3_single_yuqi,
11323502,kidney graft survival,clinical_outcome,Tier3_single_yuqi,
11323502,patient graft survival,clinical_outcome,Tier3_single_yuqi,
11323502,hospital stay,clinical_outcome,Tier3_single_yuqi,
11323502,cold ischemia time,clinical_outcome,Tier3_single_yuqi,
11323502,portal-enteric (PE) pancreas and kidney transplantation,drug,Tier3_single_yuefei,
11323502,Simultaneous pancreas and kidney transplantation,drug,Tier3_single_yuefei,
11323502,venting jejunostomy (VJ),drug,Tier3_single_yuefei,
11323502,bladder drainage,drug,Tier3_single_yuefei,
11978663,early-onset diabetes (EOD),disease,Tier1_agree,
11978663,GAD antibody,biomarker,Tier1_agree,
11978663,type 1 diabetes HLA risk alleles,gene,Tier2_type_disagree_yuqi,
11978663,type 1 diabetes,disease,Tier2_type_disagree_yuefei,
11978663,maturity-onset diabetes of the young (MODY),disease,Tier2_type_disagree_yuqi,
11978663,maturity-onset diabetes of the young (MODY) 1-5 genes,gene,Tier2_type_disagree_yuefei,
11978663,A3243G mitochondrial DNA mutation,gene,Tier1_agree,
11978663,chromosome 1p locus,gene,Tier1_agree,
11978663,chromosome 3p locus,gene,Tier3_single_yuqi,
11978663,chromosome 7q locus,gene,Tier3_single_yuqi,
11978663,chromosome 11q locus,gene,Tier3_single_yuqi,
11978663,chromosome 18q locus,gene,Tier3_single_yuqi,
11978663,chromosome 20q locus,gene,Tier3_single_yuqi,
11978663,chromosome 21q locus,gene,Tier3_single_yuqi,
11978663,chromosome 16q locus,gene,Tier3_single_yuqi,
11978663,chromosome 5q locus,gene,Tier3_single_yuqi,
11978663,maternally inherited diabetes and deafness,disease,Tier3_single_yuefei,
11978663,D1S438,gene,Tier3_single_yuefei,
11978663,D16S419,gene,Tier3_single_yuefei,
11978663,MODY1,gene,Tier3_single_yuefei,
11978663,MODY3,gene,Tier3_single_yuefei,
11978663,HLA risk alleles,gene,Tier3_single_yuefei,
12401723,type 1 diabetes,disease,Tier1_agree,
12401723,diabetic autonomic neuropathy,disease,Tier1_agree,
12401723,cardiovascular mortality,clinical_outcome,Tier1_agree,
12401723,myocardial perfusion index,biomarker,Tier2_type_disagree_yuqi,
12401723,myocardial perfusion index (K(i)),clinical_outcome,Tier2_type_disagree_yuefei,
12401723,myocardial perfusion reserve capacity,biomarker,Tier2_type_disagree_yuqi,
12401723,myocardial perfusion reserve,clinical_outcome,Tier2_type_disagree_yuefei,
12401723,Dipyridamole,drug,Tier1_agree,
12401723,vasodilatation,biological_process,Tier1_agree,
12401723,blood pressure,biomarker,Tier2_type_disagree_yuqi,
12401723,blood pressure,clinical_outcome,Tier2_type_disagree_yuefei,
12401723,myocardial sympathetic vasodilatation,biological_process,Tier3_single_yuqi,
12401723,autonomic neuropathy,disease,Tier3_single_yuefei,
12820687,type 1 diabetes,disease,Tier1_agree,
12820687,beta cell mass,biomarker,Tier2_type_disagree_yuqi,
12820687,beta cell mass,biological_process,Tier2_type_disagree_yuefei,
12820687,splenocytes,cell_type,Tier1_agree,
12820687,oxidative peritoneal exudate cells (PEC),biomarker,Tier2_type_disagree_yuqi,
12820687,oxidative peritoneal exudate cells (PEC),cell_type,Tier2_type_disagree_yuefei,
12820687,pancreatic insulin content,biomarker,Tier1_agree,
12820687,insulitis,disease,Tier1_agree,
12820687,prediabetic stage,clinical_outcome,Tier3_single_yuqi,type merged from clinical_stage
12820687,diabetes,disease,Tier3_single_yuefei,
20086468,type 1 diabetes mellitus,disease,Tier1_agree,
20086468,exercise,biological_process,Tier2_type_disagree_yuqi,
20086468,exercise,drug,Tier2_type_disagree_yuefei,
20086468,blood glucose self-monitoring,biological_process,Tier2_type_disagree_yuqi,type merged from medical_procedure
20086468,blood glucose,biomarker,Tier2_type_disagree_yuefei,
20086468,dietary management,biological_process,Tier3_single_yuqi,type merged from medical_process
20086468,insulin management,biological_process,Tier2_type_disagree_yuqi,type merged from medical_process
20086468,insulin,drug,Tier2_type_disagree_yuefei,
20086468,diabetic complications,disease,Tier3_single_yuqi,
15013454,type 2 diabetes mellitus,disease,Tier1_agree,
15013454,hyperglycemia,biomarker,Tier2_type_disagree_yuqi,
15013454,hyperglycemia,disease,Tier2_type_disagree_yuefei,
15013454,basal hyperglycemia,biomarker,Tier2_type_disagree_yuqi,
15013454,postprandial hyperglycemia,disease,Tier2_type_disagree_yuefei,
15013454,postprandial hyperglycemia,biomarker,Tier3_single_yuqi,
15013454,sulfonylureas,drug,Tier1_agree,
15013454,metformin,drug,Tier1_agree,
15013454,basal insulin therapy,biological_process,Tier2_type_disagree_yuqi,type merged from medical_process
15013454,insulin,drug,Tier2_type_disagree_yuefei,
15013454,insulin glargine,protein,Tier2_type_disagree_yuqi,
15013454,glargine,drug,Tier2_type_disagree_yuefei,
15013454,hemoglobin A1c (HbA1c),biomarker,Tier1_agree,
15013454,endogenous insulin,protein,Tier3_single_yuqi,
15013454,long-acting insulin,drug,Tier3_single_yuefei,
15013454,basal insulin,drug,Tier3_single_yuefei,
15013454,shorter-acting insulins,drug,Tier3_single_yuefei,
15013454,oral agents,drug,Tier3_single_yuefei,
15013454,glucose,chemical,Tier3_single_yuefei,
15013454,glycemic control,clinical_outcome,Tier3_single_yuefei,
15013454,weight gain,clinical_outcome,Tier3_single_yuefei,
15114267,type 1 diabetes mellitus,disease,Tier1_agree,
15114267,microvascular complications,disease,Tier2_type_disagree_yuqi,
15114267,microvascular complications,clinical_outcome,Tier2_type_disagree_yuefei,
15114267,diabetic retinopathy,disease,Tier1_agree,
15114267,diabetic nephropathy,disease,Tier1_agree,
15114267,diabetic polyneuropathy,disease,Tier1_agree,
15114267,acute diabetic complications,disease,Tier3_single_yuqi,
15114267,hemoglobin A1c (HbA1c),biomarker,Tier1_agree,
15114267,hypertension,disease,Tier1_agree,
15114267,albumin excretion rate (AER),biomarker,Tier1_agree,
15114267,clinical polyneuropathy,disease,Tier3_single_yuefei,
15114267,microalbuminuria,clinical_outcome,Tier3_single_yuefei,
15114267,plasma creatinine,biomarker,Tier3_single_yuefei,
15114267,blood pressure,clinical_outcome,Tier3_single_yuefei,
16005542,proinsulin C-peptide,protein,Tier1_agree,
16005542,autonomic nervous system,cell_type,Tier3_single_yuqi,type merged from anatomical_structure
16005542,parasympathetic nerve activity,biological_process,Tier1_agree,
16005542,sympathetic nerve activity,biological_process,Tier1_agree,
16005542,type 1 diabetes,disease,Tier1_agree,
16005542,cardiac autonomic nerve function,clinical_outcome,Tier2_type_disagree_yuqi,
16005542,cardiac autonomic nerve functions,biological_process,Tier2_type_disagree_yuefei,
16005542,vagus nerve activity,biomarker,Tier3_single_yuqi,
16005542,gastric acid secretion,biological_process,Tier1_agree,
16005542,norepinephrine (NE),chemical,Tier2_type_disagree_yuqi,
16005542,norepinephrine (NE) turnover rate,biological_process,Tier2_type_disagree_yuefei,
16005542,atropine,drug,Tier3_single_yuefei,
16005542,electrophysiological activity of the vagus nerves,biological_process,Tier3_single_yuefei,
17060846,diabetes mellitus,disease,Tier1_agree,
17060846,type 1 diabetes mellitus,disease,Tier3_single_yuqi,
17060846,type 2 diabetes mellitus,disease,Tier3_single_yuqi,
17060846,end-stage renal disease,disease,Tier1_agree,
17060846,blindness,disease,Tier2_type_disagree_yuqi,
17060846,blindness,clinical_outcome,Tier2_type_disagree_yuefei,
17060846,atherosclerosis,disease,Tier1_agree,
17060846,dyslipidemia,disease,Tier1_agree,
17060846,cardio-cerebrovascular disease,disease,Tier1_agree,
17060846,hypertension,disease,Tier1_agree,
17060846,diabetic complications,disease,Tier2_type_disagree_yuqi,
17060846,major diabetic complications,clinical_outcome,Tier2_type_disagree_yuefei,
17060846,hyperglycemia,biological_process,Tier2_type_disagree_yuqi,
17060846,Hyperglycemia,disease,Tier2_type_disagree_yuefei,
17060846,quality of life,clinical_outcome,Tier3_single_yuqi,
17060846,lifespan,clinical_outcome,Tier3_single_yuqi,
17060846,mortality,clinical_outcome,Tier3_single_yuqi,
17060846,amputation,clinical_outcome,Tier1_agree,
17060846,Type 1 DM,disease,Tier3_single_yuefei,
17121768,type 1 diabetes,disease,Tier1_agree,
17121768,type 2 diabetes,disease,Tier1_agree,
17121768,chronic liver disease,disease,Tier1_agree,
17121768,serum alanine transaminase (ALT),biomarker,Tier1_agree,
17121768,elevated ALT,clinical_outcome,Tier3_single_yuqi,
17121768,body mass index (BMI),biomarker,Tier2_type_disagree_yuqi,
17121768,body mass index,clinical_outcome,Tier2_type_disagree_yuefei,
17121768,insulin,protein,Tier2_type_disagree_yuqi,
17121768,insulin,drug,Tier2_type_disagree_yuefei,
17121768,diabetics,disease,Tier3_single_yuefei,
17121768,Maturity Onset Diabetes of the Young,disease,Tier3_single_yuefei,
17121768,secondary diabetes,disease,Tier3_single_yuefei,
17121768,gestational diabetes,disease,Tier3_single_yuefei,
17121768,mortality from liver disease,clinical_outcome,Tier3_single_yuefei,
17365945,Type 1 diabetes,disease,Tier1_agree,
17365945,pancreas allograft,cell_type,Tier2_type_disagree_yuqi,type merged from anatomical_structure
17365945,pancreas allograft,drug,Tier2_type_disagree_yuefei,
17365945,occult donor malignant undifferentiated tumor,disease,Tier1_agree,
17365945,metastatic disease,disease,Tier1_agree,
17365945,tumor transmission,biological_process,Tier3_single_yuqi,
17365945,organ transplantation,biological_process,Tier3_single_yuqi,type merged from medical_procedure
17365945,spontaneous intracerebral hemorrhage,disease,Tier3_single_yuefei,
17365945,occult primary tumor,disease,Tier3_single_yuefei,
17365945,transplant pancreatectomy,drug,Tier3_single_yuefei,
17365945,nephrectomy,drug,Tier3_single_yuefei,
17510698,type 1 diabetes mellitus,disease,Tier1_agree,
17510698,type 2 diabetes mellitus,disease,Tier3_single_yuqi,
17510698,hypoglycemia,disease,Tier1_agree,
17510698,hyperglycemia,disease,Tier3_single_yuqi,
17510698,insulin,protein,Tier2_type_disagree_yuqi,
17510698,insulin,drug,Tier2_type_disagree_yuefei,
17510698,glucose clearance,biological_process,Tier1_agree,
17510698,sulfonylurea drugs,drug,Tier1_agree,
17510698,hepatic glucose production,biological_process,Tier1_agree,
17510698,counterregulatory hormone response,biological_process,Tier1_agree,
17510698,insulin sensitivity,biomarker,Tier2_type_disagree_yuqi,
17510698,insulin secretion,biological_process,Tier2_type_disagree_yuefei,
17510698,glucose homeostasis,biological_process,Tier1_agree,
17510698,C-peptide,protein,Tier2_type_disagree_yuqi,
17510698,C-peptide,biomarker,Tier2_type_disagree_yuefei,
17510698,triglycerides,chemical,Tier1_agree,
17510698,chylomicrons,biomarker,Tier2_type_disagree_yuqi,
17510698,chylomicrons,chemical,Tier2_type_disagree_yuefei,
17510698,very low-density lipoproteins (VLDL),biomarker,Tier2_type_disagree_yuqi,
17510698,very low-density lipoproteins,chemical,Tier2_type_disagree_yuefei,
17510698,type 2 DM,disease,Tier3_single_yuefei,
17510698,plasma glucose,biomarker,Tier3_single_yuefei,
17510698,insulin sensitivity,biological_process,Tier3_single_yuefei,
17510698,exercise,biological_process,Tier3_single_yuefei,
17510698,prolonged moderate exercise,biological_process,Tier3_single_yuefei,
17510698,brief vigourous exercise,biological_process,Tier3_single_yuefei,
17510698,intermittent high-intensity exercise,biological_process,Tier3_single_yuefei,
17510698,glucose production,biological_process,Tier3_single_yuefei,
17510698,glucose,chemical,Tier3_single_yuefei,
18064633,type 1 diabetes (T1D),disease,Tier1_agree,
18064633,immunoinflammatory diabetes,disease,Tier2_type_disagree_yuqi,
18064633,immunoinflammatory responses,biological_process,Tier2_type_disagree_yuefei,
18064633,insulitis,disease,Tier1_agree,
18064633,pancreatic endocrine apoptosis,disease,Tier2_type_disagree_yuqi,
18064633,apoptosis,biological_process,Tier2_type_disagree_yuefei,
18064633,accelerated diabetes,disease,Tier1_agree,
18064633,macrophage migration inhibitory factor (MIF),protein,Tier1_agree,
18064633,IL-12,protein,Tier1_agree,
18064633,IL-23,protein,Tier1_agree,
18064633,TNF-alpha,protein,Tier1_agree,
18064633,IL-1beta,protein,Tier1_agree,
18064633,IL-18,protein,Tier1_agree,
18064633,iNOS,protein,Tier1_agree,
18064633,IL-4,protein,Tier1_agree,
18064633,TGF-beta,protein,Tier1_agree,
18064633,macrophages,cell_type,Tier1_agree,
18064633,monocytes,cell_type,Tier3_single_yuqi,
18064633,T cells,cell_type,Tier1_agree,
18064633,lymphocytes,cell_type,Tier2_type_disagree_yuqi,
18064633,lymphocyte adhesion,biological_process,Tier2_type_disagree_yuefei,
18064633,spleen cells,cell_type,Tier1_agree,
18064633,peritoneal cells,cell_type,Tier3_single_yuqi,
18064633,innate immune cells,cell_type,Tier3_single_yuqi,
18064633,anti-MIF antibody,drug,Tier1_agree,
18064633,cyclophosphamide,chemical,Tier2_type_disagree_yuqi,
18064633,cyclophosphamide,drug,Tier2_type_disagree_yuefei,
18064633,diabetogenic spleen cell transfer,biological_process,Tier3_single_yuqi,
18064633,MIF deficiency,protein,Tier2_type_disagree_yuqi,
18064633,MIF deficiency,biological_process,Tier2_type_disagree_yuefei,
18064633,streptozotocin,chemical,Tier2_type_disagree_yuqi,
18064633,streptozotocin,drug,Tier2_type_disagree_yuefei,
18064633,immunoinflammatory response,biological_process,Tier2_type_disagree_yuqi,
18064633,immunoinflammatory diabetes,disease,Tier2_type_disagree_yuefei,
18064633,immune deviation,biological_process,Tier1_agree,
18064633,lymphocyte proliferation,biological_process,Tier1_agree,
18064633,lymphocyte adhesion,biological_process,Tier3_single_yuqi,
18064633,inflammatory mediator production,biological_process,Tier3_single_yuqi,
18221426,type 1 diabetes mellitus (T1DM),disease,Tier1_agree,
18221426,diabetic ketoacidosis (DKA),disease,Tier1_agree,
18221426,polyuria,clinical_outcome,Tier1_agree,
18221426,polydipsia,clinical_outcome,Tier1_agree,
18221426,polyphagia,clinical_outcome,Tier1_agree,
18221426,weight loss,clinical_outcome,Tier1_agree,
18221426,fasting plasma glucose,biomarker,Tier1_agree,
18221426,postprandial plasma glucose,biomarker,Tier3_single_yuqi,
18221426,hemoglobin A1c,biomarker,Tier1_agree,
18221426,urinary ketones,biomarker,Tier1_agree,
18221426,proteinuria,biomarker,Tier2_type_disagree_yuqi,
18221426,proteinuria,clinical_outcome,Tier2_type_disagree_yuefei,
18221426,hypertension,disease,Tier1_agree,
18221426,diabetic nephropathy,disease,Tier1_agree,
18221426,diabetic neuropathy,disease,Tier1_agree,
18221426,diabetic retinopathy,disease,Tier1_agree,
18221426,arterial blood gases,biomarker,Tier3_single_yuqi,
18221426,Ketonuria,clinical_outcome,Tier3_single_yuefei,
28615632,type 1 diabetes mellitus (T1DM/IDDM),disease,Tier1_agree,
28615632,type 2 diabetes mellitus (T2DM/NIDDM),disease,Tier1_agree,
28615632,diabetic corneal alterations,disease,Tier1_agree,
28615632,microRNAs (miRNAs),gene,Tier2_type_disagree_yuqi,type merged from molecule
28615632,microRNAs (miRNAs),gene,Tier2_type_disagree_yuefei,
28615632,miR-10b,gene,Tier2_type_disagree_yuqi,type merged from molecule
28615632,miR-10b,gene,Tier2_type_disagree_yuefei,
28615632,Ki-67,protein,Tier1_agree,
28615632,PAX6,protein,Tier2_type_disagree_yuqi,
28615632,PAX6,gene,Tier2_type_disagree_yuefei,
28615632,DKK1,protein,Tier2_type_disagree_yuqi,
28615632,DKK1,gene,Tier2_type_disagree_yuefei,
28615632,keratin 17,protein,Tier1_agree,
28615632,limbal epithelial stem cells (LESC),cell_type,Tier1_agree,
28615632,corneal epithelial cells,cell_type,Tier2_type_disagree_yuqi,
28615632,corneal epithelial cell proliferation,biological_process,Tier2_type_disagree_yuefei,
28615632,central cornea,cell_type,Tier3_single_yuqi,type merged from tissue
28615632,limbus,cell_type,Tier3_single_yuqi,type merged from tissue
28615632,human corneas,cell_type,Tier3_single_yuqi,type merged from tissue
28615632,corneal epithelial cells,cell_type,Tier2_type_disagree_yuefei,
28615632,gene expression regulation,biological_process,Tier1_agree,
28615632,cell proliferation,biological_process,Tier1_agree,
28615632,stem cell maintenance,biological_process,Tier1_agree,
28615632,stem cell differentiation,biological_process,Tier3_single_yuqi,
28615632,protein expression regulation,biological_process,Tier3_single_yuqi,
28615632,small non-coding RNAs,gene,Tier3_single_yuefei,
28615632,miRNA expression profiles,biological_process,Tier3_single_yuefei,
28615632,type 2 diabetes mellitus (T2DM/NIDDM),disease,Tier3_single_yuefei,
28615632,differential miRNA signatures,biological_process,Tier3_single_yuefei,
34128835,type 1 diabetes (T1D),disease,Tier1_agree,
34128835,islet inflammation,disease,Tier2_type_disagree_yuqi,
34128835,early islet inflammation,biological_process,Tier2_type_disagree_yuefei,
34128835,hyperglycemia,disease,Tier1_agree,
34128835,insulitis,disease,Tier1_agree,
34128835,autoimmunity,disease,Tier2_type_disagree_yuqi,
34128835,autoimmunity,biological_process,Tier2_type_disagree_yuefei,
34128835,12-lipoxygenase (12-LOX),protein,Tier1_agree,
34128835,proinflammatory eicosanoids,protein,Tier2_type_disagree_yuqi,
34128835,formation of proinflammatory eicosanoids,biological_process,Tier2_type_disagree_yuefei,
34128835,CXCR3 chemokine receptor,protein,Tier1_agree,
34128835,Alox15,protein,Tier3_single_yuqi,
34128835,macrophages,cell_type,Tier1_agree,
34128835,myeloid cells,cell_type,Tier1_agree,
34128835,innate immune cells,cell_type,Tier1_agree,
34128835,beta cells,cell_type,Tier3_single_yuqi,
34128835,T cells,cell_type,Tier2_type_disagree_yuqi,
34128835,β cell mass,biological_process,Tier2_type_disagree_yuefei,
34128835,pancreatic islets,cell_type,Tier3_single_yuqi,type merged from tissue
34128835,depletion or inhibition of 12-LOX,biological_process,Tier2_type_disagree_yuefei,
34128835,gene encoding 12-LOX,gene,Tier2_type_disagree_yuefei,
34128835,loss of CXCR3,biological_process,Tier2_type_disagree_yuefei,
34128835,myeloid cell migration,biological_process,Tier1_agree,
34128835,macrophage infiltration,biological_process,Tier1_agree,
34128835,beta cell loss,biological_process,Tier1_agree,
34128835,immune surveillance,biological_process,Tier1_agree,
34128835,tissue injury response,biological_process,Tier1_agree,
34128835,loss of β cells,biological_process,Tier3_single_yuefei,
34128835,proinflammatory macrophages,cell_type,Tier3_single_yuefei,
34128835,transgenic expression of the gene encoding CXCR3,biological_process,Tier3_single_yuefei,
34128835,prodiabetogenic phenotype,biological_process,Tier3_single_yuefei,
34128835,early pathogenesis of T1D,biological_process,Tier3_single_yuefei,
34128835,gene encoding CXCR3,gene,Tier3_single_yuefei,
