pmid,pubmed_url,year,title,journal,abstract,keywords,mesh_terms,publication_types,entities,relations
5355346,https://pubmed.ncbi.nlm.nih.gov/5355346/,1969,Metabolic clearance and production rates of human growth hormone.,The Journal of clinical investigation,"The metabolic clearance rate (MCR) of human growth hormone (HGH) was determined by the constant infusion to equilibrium technique utilizing HGH-(125)I. 22 control subjects had a MCR of 229 +/-52 ml/min (mean +/-SD). No difference was evident between sexes, or between various age groups. Patients with acromegaly demonstrated normal MCR's. Moreover, acute elevations of plasma growth hormone concentrations in normal subjects did not alter the MCR of HGH. The MCR was relatively constant from day to day and within the day when subjects were evaluated in the supine position. In contrast, the assumption of the upright position was associated with a mean 24% decrease in the MCR. These results were contrasted with the MCR of HGH observed in a small number of patients with altered thyroid function or diabetes mellitus. In six patients with hypothyroidism the MCR (131 +/-36 ml/min) was significantly decreased (P < 0.001); whereas the MCR in eight patients with hyperthyroidism (240 +/-57 ml/min) did not differ from control subjects. The MCR in eight patients with insulin-independent diabetes mellitus (IID) (185 +/-41 ml/min) and in eight patients with insulin-dependent diabetes mellitus (IDD) (136 +/-31 ml/min) were significantly different from control subjects (P = < 0.05 and P = < 0.001, respectively). These data were interpreted to indicate that the plasma HGH-removing mechanism(s) is not saturated at physiologic plasma HGH levels, that plasma HGH levels alone may not permit distinction between variations in pituitary release of the hormone and its rate of clearance from the plasma, and that the estimation of the MCR of HGH may help clarify the mechanism of abnormal plasma HGH responses to various stimuli. Production rates of HGH (PR) in control subjects (347 +/-173 mmug/min) were contrasted with hyperthyroid patients (529 +/-242 mmug/min, P < 0.05), hypothyroid patients (160 +/-69 mmug/min, P < 0.02), IID (245 +/-100 mmug/min, NS), and IDD (363 +/-153 mmug/min, NS). Considerable variability in the determination of the concentrations of immunoprecipitable HGH-(125)I and endogenous plasma HGH concentrations was encountered at apparent equilibrium conditions. Since both factors are necessary for the PR calculations, the wide 95% confidence limits of the PR's did not permit a clear interpretation of the significance of these observations.",,Acromegaly; Adult; Aged; Diabetes Mellitus; Female; Growth Hormone; Humans; Hyperthyroidism; Hypothyroidism; Immunoassay; Iodine Isotopes; Male; Metabolic Clearance Rate; Middle Aged; Pituitary Gland,Journal Article,human growth hormone (HGH) (protein); HGH-(125)I (chemical); acromegaly (disease); hypothyroidism (disease); hyperthyroidism (disease); insulin-independent diabetes mellitus (IID) (disease); insulin-dependent diabetes mellitus (IDD) (disease); metabolic clearance rate of HGH (biomarker); metabolic clearance rate (MCR) (biological_process); production rate of HGH (biomarker); Production rates of HGH (PR) (biological_process); plasma growth hormone concentrations (biomarker); diabetes mellitus (disease),"(hypothyroidism, Negative_Correlation, metabolic clearance rate of HGH); (insulin-independent diabetes mellitus (IID), Negative_Correlation, metabolic clearance rate of HGH); (insulin-dependent diabetes mellitus (IDD), Negative_Correlation, metabolic clearance rate of HGH); (hypothyroidism, Negative_Correlation, production rate of HGH); (hyperthyroidism, Positive_Correlation, production rate of HGH)"
5431658,https://pubmed.ncbi.nlm.nih.gov/5431658/,1970,Abnormal serum growth hormone response to exercise in juvenile diabetics.,The Journal of clinical investigation,"Groups of male nonobese juvenile diabetics with recent onset, short term (1-8 yr), and long-term (12-30 yr) diabetes as well as comparable nondiabetic controls were studied during exercise experiments. The chosen exercise load, 450 kg/min for 20 min never induced changes in serum growth hormone in our nondiabetic control subjects. THE PRINCIPAL RESULTS OF THE STUDY WERE AS FOLLOWS: (a) an immediate high rise in serum growth hormone followed the commencement of exercise in all diabetics. The increase and pattern of serum growth hormone was not related to the duration of the diabetes. (b) The abnormal growth hormone response to exercise in diabetics was observed when the patients were in poor control as well as when they were in clinically excellent control (fasting blood glucose level between 100 and 140 mg/100 ml). (c) However, the abnormal serum growth hormone response was significantly diminished when exceedingly strict control was achieved (fasting blood glucose level between 60 and 100 mg/100 ml). In two of these experiments an entirely normal growth hormone pattern was obtained. (d) The change in serum growth hormone pattern during regulation was totally unrelated to the changes in serum free fatty acid patterns. A normal free fatty acid level and exercise pattern was obtained much earlier during the improved control. (e) Fasting serum growth hormone levels were also significantly raised in the juvenile diabetics irrespective of the diabetes duration. (f) Fasting serum growth hormone levels were also significantly decreased during regulation. Furthermore, a significant correlation between blood glucose and fasting serum growth hormone concentration was established. (g) In the juvenile diabetics a significant increase in serum insulin was observed at the point of time when exercise was concluded.",,"Adolescent; Adult; Blood Glucose; Body Height; Body Weight; Diabetes Mellitus, Type 1; Fatty Acids, Nonesterified; Glucose Tolerance Test; Growth Hormone; Humans; Insulin; Lactates; Male; Oxygen Consumption; Physical Exertion; Radioimmunoassay; Vascular Diseases",Journal Article,juvenile diabetes (disease); serum growth hormone (protein); serum growth hormone (biomarker); fasting blood glucose (biomarker); serum free fatty acid (biomarker); serum insulin (protein); serum insulin (biomarker); diabetes (disease); fasting serum growth hormone (biomarker); fasting blood glucose level (biomarker); exercise (biological_process),"(juvenile diabetes, Positive_Correlation, serum growth hormone); (fasting blood glucose, Positive_Correlation, serum growth hormone); (juvenile diabetics, Positive_Correlation, fasting serum growth hormone); (exercise, Positive_Correlation, serum growth hormone); (exercise, Positive_Correlation, serum insulin); (fasting blood glucose level, Positive_Correlation, serum growth hormone)"
5811682,https://pubmed.ncbi.nlm.nih.gov/5811682/,1969,Seasonal incidence of diabetes mellitus.,British medical journal,"A seasonal incidence in the onset of insulin-dependent diabetes in patients under 30 years of age has been suggested from the analysis of data derived from the clinic registers of two diabetic clinics. The increased incidence occurred in summer, autumn, and winter, with a peak in the autumn. A significant variation in annual totals of new cases of diabetes seen could not be demonstrated or excluded, but the pattern of the variation present showed significant positive correlation with the annual prevalence data for Coxsackie virus type B4, but not for other types of virus infection.",,"Adolescent; Adult; Age Factors; Aged; Analysis of Variance; Child; Child, Preschool; Coxsackievirus Infections; Diabetes Mellitus; Diabetes Mellitus, Type 1; Humans; Infant; Infant, Newborn; Insulin; London; Middle Aged; Seasons",Journal Article,insulin-dependent diabetes (disease); Coxsackie virus type B4 (biomarker); Coxsackie virus type B4 (disease); diabetes (disease); virus infection (disease),"(insulin-dependent diabetes incidence, Positive_Correlation, Coxsackie virus type B4); (Coxsackie virus type B4, Positive_Correlation, insulin-dependent diabetes)"
6205922,https://pubmed.ncbi.nlm.nih.gov/6205922/,1984,Plasma beta-thromboglobulin response to insulin-induced hypoglycemia in type I diabetic patients.,Diabetes,"The effect of an insulin-induced hypoglycemia was examined in 14 type I diabetic patients. After an overnight blood glucose normalization, each patient received an additional intravenous bolus of 3 U regular insulin at 0900 h (time 0). Blood glucose was continuously recorded up to 180 min. Plasma samples were assayed for beta-thromboglobulin (beta TG, ng/ml), pancreatic glucagon (pg/ml), cortisol (microgram/dl), and growth hormone (ng/ml) 30 min before the insulin stress, at time 0, at blood glucose nadir, and at 180 min. The blood glucose fell from a baseline level of 85.0 +/- 3.2 mg/dl to a nadir value of 39.2 +/- 1.9 mg/dl (P less than 0.001) reached at an average time of 41.4 +/- 4.9 min. Plasma beta TG increased significantly (P less than 0.05) during the insulin stress: 93.4 +/- 23.7 ng/ml at nadir versus 42.5 +/- 5.9 at time 0. Plasma cortisol and growth hormone were significantly increased (P less than 0.02 and P less than 0.01) at nadir compared with time 0 values. Plasma pancreatic glucagon was higher at nadir than at time 0, but the difference was not significant. The present results indicate that in vivo platelet activation can be triggered by hypoglycemic episodes in insulin-treated diabetic patients.",,"Adolescent; Adult; Beta-Globulins; Blood Glucose; Diabetes Mellitus, Type 1; Glucagon; Growth Hormone; Humans; Hydrocortisone; Hypoglycemia; Insulin; Middle Aged; beta-Thromboglobulin",Journal Article,type I diabetes (disease); insulin (protein); regular insulin (drug); hypoglycemia (disease); blood glucose (biomarker); beta-thromboglobulin (biomarker); pancreatic glucagon (protein); cortisol (protein); growth hormone (protein); platelet activation (biological_process); insulin (drug),"(hypoglycemia, Positive_Correlation, beta-thromboglobulin); (hypoglycemia, Positive_Correlation, cortisol); (hypoglycemia, Positive_Correlation, growth hormone); (hypoglycemia, Positive_Correlation, platelet activation); (insulin, Positive_Correlation, hypoglycemia); (insulin, Negative_Correlation, Blood glucose); (insulin, Positive_Correlation, beta-thromboglobulin); (platelet activation, Association, insulin)"
6308982,https://pubmed.ncbi.nlm.nih.gov/6308982/,1982,Serum metformin levels in Nigerians with non-insulin-dependent diabetes mellitus.,African journal of medicine and medical sciences,'Steady state' serum concentrations of metformin have been measured in sixteen Nigerians with non-insulin-dependent diabetes mellitus. There was a thirty-eight-fold variation in the serum levels (50-1886 ng/ml). The mean serum level of metformin was 512 +/- 485.2 ng/ml. This compared favourably with the mean levels (382.3 +/- 76.9 ng/ml) obtained in a similar study in Italians. The observed levels however fell far short of those expected in patients on 1-5 g metformin daily. The role of poor bioavailability vis-à-vis poor patient compliance deserves further detailed pharmacokinetic study.,,Adult; Aged; Diabetes Mellitus; Female; Humans; Male; Metformin; Middle Aged; Nigeria,Journal Article,non-insulin-dependent diabetes mellitus (disease); metformin (drug); serum concentrations of metformin (biomarker),"(metformin, Association, non-insulin-dependent diabetes mellitus)"
6357915,https://pubmed.ncbi.nlm.nih.gov/6357915/,1983,Glucose utilization in Type 1 (insulin-dependent) diabetes: Evidence for a defect not reversible by acute elevations of insulin.,Diabetologia,"It has long been assumed that replacement of insulin in insulin-deficient diabetic patients will normalise glucose utilization. In this study, glucose utilization was measured in nine long-standing, poorly controlled diabetic patients and five control subjects, matched for age (33 +/- 3 versus 33 +/- 2 years) and ponderal index (22.9 +/- 1.3 versus 21.7 +/- 1.0). Glucose uptake was measured during steady state insulinaemia in the diabetic patients and control subjects, at euglycaemia (5.5 +/- 0.5 versus 5.4 +/- 0.3 mmol/l, respectively) and moderate hyperglycaemia (11.8 +/- 0.9 versus 10.2 +/- 0.7 mmol/l, respectively). At euglycaemia with similar free insulin levels (50 +/- 19 versus 43 +/- 9 mU/l; p greater than 0.6), the diabetic patients utilized less glucose than the control subjects (27.8 +/- 4.2 versus 56.4 +/- 5.7 mumol.kg-1.min-1;.p less than 0.005). During hyperglycaemia, the diabetic patients utilized almost as much glucose as the control subjects did at euglycaemia (49.9 +/- 6.4 versus 56.4 +/- 5.7 mumol.kg-1.min-1, respectively). In the control subjects, a 1-mmol/l rise in glucose concentration (with insulin remaining constant) resulted in a 12.3 +/- 1.3 mumol.kg-1.min-1 rise in glucose utilization. In contrast, in the diabetic patients, a 1-mmol/l rise in blood glucose resulted in a rise in glucose utilization of only 3.8 +/- 0.8 mumol.kg-1.min-1 (p less than 0.001), in the presence of similar concentrations of plasma insulin. This defect of glucose utilization in Type1 diabetic patients could not be reversed by acutely raising insulin to 247 +/- 23 mU/l.(ABSTRACT TRUNCATED AT 250 WORDS)",,"Adult; Blood Glucose; C-Peptide; Diabetes Mellitus, Type 1; Female; Glucose; Humans; Insulin; Insulin Resistance; Male; Middle Aged","Journal Article; Research Support, Non-U.S. Gov't",insulin (protein); insulin (drug); glucose (chemical); glucose utilization (biological_process); glucose uptake (biological_process); Type 1 diabetes (disease); euglycaemia (biomarker); euglycaemia (clinical_outcome); hyperglycaemia (biomarker); hyperglycaemia (clinical_outcome); free insulin levels (biomarker); plasma insulin (biomarker); blood glucose (biomarker),"(Type 1 diabetes, Negative_Correlation, glucose utilization); (glucose, Positive_Correlation, glucose utilization)"
6634559,https://pubmed.ncbi.nlm.nih.gov/6634559/,1983,Unrecognised nocturnal hypoglycaemia masquerading as senile dementia.,Postgraduate medical journal,A 70-year-old woman with insulin dependent diabetes mellitus presented with symptoms suggestive of senile dementia. Outpatient assessment failed to reveal poor diabetic control with frequent nocturnal hypoglycaemia. Eventual appreciation of the poor control resulted in several failed attempts at improving therapy with various subcutaneous insulin regimes. Intramuscular and intravenous routes produced acceptable blood glucose levels with striking reversal of the patient's symptoms. The possible causes of nocturnal hypoglycaemia in this patient are discussed.,,"Dementia; Diagnosis, Differential; Female; Humans; Hypoglycemia; Middle Aged",Case Reports; Journal Article,insulin-dependent diabetes (disease); thromboplastin time (biomarker); partial thromboplastin time (biomarker); bleeding time (biomarker); spontaneous fibrinolytic activity (biomarker); thrombocytes (cell_type); platelet aggregation (biological_process); haemostasis (biological_process); blood sugar (biomarker); thrombophilia (disease); atherogenesis (biological_process); senile dementia (disease); nocturnal hypoglycaemia (disease); subcutaneous insulin (drug); blood glucose (biomarker); Intramuscular (drug); intravenous routes produced (drug),"(insulin-dependent diabetes, Positive_Correlation, haemostasis labilisation); (thrombophilia, Association, atherogenesis); (insulin dependent diabetes mellitus, Association, nocturnal hypoglycaemia); (nocturnal hypoglycaemia, Association, senile dementia); (Intramuscular, Cotreatment, intravenous routes produced)"
6751735,https://pubmed.ncbi.nlm.nih.gov/6751735/,1981,A prospective study of symptomatic hypoglycemia in young diabetic patients.,Diabetes care,"The frequency of symptomatic hypoglycemia was determined prospectively over an 18-mo period in 147 children and adolescents with diabetes mellitus. All patients were treated with two daily injections of insulin. The data were analyzed to determine the relationship between episodes of symptomatic hypoglycemia and blood glucose control as assessed by hemoglobin A1c measurements. There were 542 patient visits during the study period. During each clinic visit, patients were separated into one of four hypoglycemic categories based on the medical history since the preceding visit. These categories were: no reactions, mild to occasional reactions, mild to frequent reactions, and severe reactions. Reactions were considered severe if they were characterized by altered central nervous system function or prolonged sympathetic nervous system symptoms. Forty-seven percent of the patients reported at least one reaction during the 18-mo study period, but only 4% (i.e., 6 out of 147 patients) reported severe reactions. The mean hemoglobin A1c level was significantly lower in patients who reported reactions than in patients who did not report reactions [hemoglobin A1c values (x +/- SEM) = 7.78 +/- 0.1% vs. 9.48 +/- 0.1%, respectively; P less than 0.001]. The severity of hypoglycemia was inversely related to the degree of altered blood glucose control; episodes of frequent or severe symptomatic hypoglycemia occurred almost exclusively in patients with well-controlled diabetes as reflected in their near-normal hemoglobin A1c levels. There were no significant differences in mean insulin dose/kg, age, or duration of diabetes comparing patients in the four hypoglycemic categories. The results indicate that the hemoglobin A1c level can be a useful clinical guide to identify patients who are most likely to develop serious symptomatic hypoglycemia.",,"Adolescent; Child; Diabetes Mellitus, Type 1; Female; Glycated Hemoglobin; Humans; Hypoglycemia; Insulin; Male; Prospective Studies","Journal Article; Research Support, U.S. Gov't, P.H.S.",diabetes mellitus (disease); symptomatic hypoglycemia (disease); severe symptomatic hypoglycemia (disease); insulin (protein); insulin (drug); blood glucose (biomarker); blood glucose control (clinical_outcome); hemoglobin A1c (biomarker); insulin dose (clinical_outcome); duration of diabetes (clinical_outcome),"(hemoglobin A1c, Negative_Correlation, symptomatic hypoglycemia); (hemoglobin A1c, Negative_Correlation, severe symptomatic hypoglycemia); (diabetes mellitus, Association, symptomatic hypoglycemia); (hemoglobin A1c, Association, blood glucose control); (blood glucose control, Positive_Correlation, symptomatic hypoglycemia)"
7033091,https://pubmed.ncbi.nlm.nih.gov/7033091/,1981,Calcium-antagonistic effects on glucose response to glucagon in patients with non insulin-dependent diabetes mellitus and in normoglycemic subjects.,Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et metabolisme,"The current study was performed in order to investigate whether verapamil would affect the glucose response to glucagon differently in patients with non insulin-dependent diabetes mellitus (NIDDM) compared with age-matched normoglycemic controls. For that purpose glucagon was injected intravenously on a background infusion of verapamil, and for comparison also on a background infusion of saline in these two groups. Verapamil was found to blunt the glucose response to glucagon in the patients with NIDDM, whereas it augmented the glucose response to glucagon in the controls. This discrepancy could not be explained on the basis of verapamil-induced changes in the release of insulin, since verapamil did not effect the serum responses to glucagon. However, it could reflect the differences in hepatic handling of glucose, which has been shown to prevail in patients with NIDDM compared with healthy controls.",,Aged; Blood Glucose; Calcium; Diabetes Mellitus; Female; Glucagon; Humans; Insulin; Kinetics; Male; Verapamil,Journal Article,non insulin-dependent diabetes mellitus (NIDDM) (disease); verapamil (drug); glucagon (drug); saline (drug); insulin (protein); glucose (chemical); the glucose response in the patients with NIDDM (biological_process); hepatic glucose handling (biological_process); insulin release (biological_process); glucose response to glucagon (clinical_outcome); the glucose response in the controls (biological_process); serum insulin response to glucagon (clinical_outcome),"(verapamil, Negative_Correlation, glucose response to glucagon); (verapamil, Positive_Correlation, the glucose response in the controls); (glucagon, Positive_Correlation, glucose response to glucagon); (verapamil, Positive_Correlation, glucose response to glucagon); (glucagon, Positive_Correlation, insulin release); (non insulin-dependent diabetes mellitus, Association, hepatic glucose handling); (glucagon, Cotreatment, verapamil); (glucagon, Cotreatment, saline); (verapamil, Comparison, saline); (verapamil, Negative_Correlation, the glucose response in the patients with NIDDM); (glucagon, Association, the glucose response in the patients with NIDDM)"
7091092,https://pubmed.ncbi.nlm.nih.gov/7091092/,1982,Transient neonatal diabetes mellitus in half sisters. A sequel.,American journal of diseases of children (1960),"This is a sequel to a previous report of two half sisters with transient neonatal diabetes mellitus. In 1970, the same syndrome developed in a third half sibling, a boy, born of the same father by his third wife. It followed essentially the same neonatal clinical course as that of his two half sisters. The firstborn sibling, aged 19 years, is reported to be free of signs and symptoms of diabetes; the third born was clinically well with no glycosuria at 9 years 3 months of age, and was reported to be in good health at 11 years of age. In 1978, at age 15 years diabetic ketoacidosis and coma developed in the second-born sister and she has had insulin-dependent diabetes since that time. These cases present a unique genetic pattern and, to our knowledge, there have been no reports of cases of transient neonatal diabetes becoming full-blown type I insulin-dependent diabetes mellitus later in life.",,"Adolescent; Diabetes Mellitus; Female; Humans; Infant, Newborn; Infant, Newborn, Diseases; Male",Case Reports; Journal Article,transient neonatal diabetes mellitus (disease); diabetic ketoacidosis (disease); type I insulin-dependent diabetes mellitus (disease); diabetic coma (disease); insulin (protein); insulin-dependent diabetes (disease); glycosuria (biomarker); glycosuria (disease); type I insulin-dependent diabetes mellitus (disease),"(transient neonatal diabetes mellitus, Conversion, type I insulin-dependent diabetes mellitus); (diabetic ketoacidosis, Positive_Correlation, diabetic coma); (type I insulin-dependent diabetes mellitus, Association, insulin)"
7418963,https://pubmed.ncbi.nlm.nih.gov/7418963/,1980,HLA and insulin-dependent diabetes in South African negroes.,Diabetologia,"The HLA antigens of 57 South African negroes with juvenile-onset, insulin-dependent diabetes were determined. The frequency of B8 was increased (29.8% VS 13.9%) as was the frequency of B14 (17.5% vs 6.1%). The frequency of patients with either one of these cross-reactive antigens was significantly increased after correction for the number of antigens tested (45.6% VS 19.2%, P (corrected) < 0.005).",,"Adult; Black People; Cross Reactions; Diabetes Mellitus, Type 1; HLA Antigens; Humans; South Africa","Journal Article; Research Support, Non-U.S. Gov't",juvenile-onset insulin-dependent diabetes (disease); HLA B8 (gene); HLA B14 (gene); HLA antigens (gene),"(HLA B8, Positive_Correlation, juvenile-onset insulin-dependent diabetes); (HLA B14, Positive_Correlation, juvenile-onset insulin-dependent diabetes); (HLA antigens, Association, insulin-dependent diabetes)"
7566857,https://pubmed.ncbi.nlm.nih.gov/7566857/,1995,Use of the TDx-FLM assay in evaluating fetal lung maturity in an insulin-dependent diabetic population. The Diabetes and Fetal Maturity Study Group.,Obstetrics and gynecology,"OBJECTIVE: To assess the usefulness of the recently introduced TDx-FLM assay in managing pregnant women with diabetes. METHODS: Participating institutions were recruited from the 1993 and 1994 Society of Perinatal Obstetricians Diabetes Special Interest Group meetings. Study patients consisted of insulin-dependent diabetic women who had undergone transabdominal amniocentesis with assay of the fluid by the TDx-FLM method. Pertinent data were requested concerning pregnancy and respiratory outcomes of the corresponding neonates. RESULTS: Data from 261 pregnancies at 13 institutions were collected. Eight of the 182 infants born within 4 days of amniocentesis developed respiratory distress syndrome (RDS); five of the eight infants with RDS required intubation, and all five had TDx-FLM values less than 70 mg of surfactant per gram of albumin. Three of the eight infants with RDS required hood oxygen only; two of these infants had TDx-FLM values at least 70 mg/g. Thirteen of 144 (9%) subjects who delivered within 4 days of amniocentesis and for whom a TDx-FLM assay and phosphatidylglycerol level were both reported had a TDx-FLM level of at least 70 mg/g and a negative phosphatidylglycerol result. No infant with this combination of results developed RDS. Fifteen of the 40 patients who delivered more than 4 days after amniocentesis, with both tests available, had TDx-FLM values at least 70 mg/g and were phosphatidylglycerol negative. CONCLUSION: In infants of diabetic mothers, TDx-FLM values at least 70 mg/g were not associated with RDS requiring intubation. The TDx-FLM assay may be useful in determining the best time of delivery for pregnant patients with diabetes, especially in a situation in which the TDx-FLM assay is mature and the phosphatidylglycerol result is immature.",,"Adolescent; Adult; Albumins; Amniocentesis; Amniotic Fluid; Diabetes Mellitus, Type 1; Female; Fetal Organ Maturity; Fluorescence Polarization; Humans; Infant, Newborn; Lung; Phosphatidylglycerols; Predictive Value of Tests; Pregnancy; Pregnancy in Diabetics; Pulmonary Surfactants; Respiratory Distress Syndrome, Newborn; Sensitivity and Specificity",Journal Article; Multicenter Study,insulin-dependent diabetes (disease); respiratory distress syndrome (RDS) (disease); TDx-FLM assay (biological_process); TDx-FLM (biomarker); transabdominal amniocentesis (biological_process); transabdominal amniocentesis (drug); surfactant (chemical); albumin (protein); phosphatidylglycerol (biomarker); insulin-dependent diabetic (disease),"(TDx-FLM level ≥70 mg/g, Negative_Correlation, RDS requiring intubation); (TDx-FLM assay, Association, delivery timing optimization in diabetic pregnancy); (TDx-FLM, Cotreatment, transabdominal amniocentesis)"
8012161,https://pubmed.ncbi.nlm.nih.gov/8012161/,1994,Differential diagnosis of neuropathic lesions in diabetic and alcoholic patients.,The Clinical investigator,"Cardiovascular reflex tests are used extensively to screen diabetic patients for autonomic cardiac neuropathy. Since alcohol abuse must often be considered the cause of nerve damage in internally ill patients, we examined 66 nonalcoholic type 1 (insulin-dependent) diabetics and 63 nondiabetic alcoholics matched for age, weight, and duration of disease to determine whether specific patterns of complaints, symptoms, signs, and results of the cardiovascular reflex tests can differentiate between alcoholic and diabetic nerve damages. In these carefully selected diabetic and alcoholic patients the medical history, clinical neurological assessment, and reflex test results all showed significant differences, resulting in different patterns which allow the correct allocation of nerve damage to either diabetic or alcoholic origin with easily available clinical means.",,"Adolescent; Adult; Autonomic Nervous System; Blood Pressure; Cardiomyopathy, Alcoholic; Diabetes Mellitus, Type 1; Diabetic Neuropathies; Diagnosis, Differential; Female; Heart Rate; Humans; Male; Middle Aged; Posture; Reflex, Abnormal; Valsalva Maneuver",Journal Article,type 1 diabetes mellitus (disease); autonomic cardiac neuropathy (disease); alcoholic nerve damage (disease); cardiovascular reflex tests (biological_process); type 1 (insulin-dependent) diabetics (disease); alcohol abuse (disease),"(alcoholism, Association, alcoholic nerve damage); (type 1 diabetes mellitus, Association, autonomic cardiac neuropathy); (cardiovascular reflex tests, Association, neuropathy differential diagnosis); (type 1 (insulin-dependent) diabetics, Association, nerve damage)"
8405757,https://pubmed.ncbi.nlm.nih.gov/8405757/,1993,Cell membrane fatty acid composition in type 1 (insulin-dependent) diabetic patients: relationship with sodium transport abnormalities and metabolic control.,Diabetologia,"We have studied the fatty acid composition of erythrocyte membrane phospholipids in nine Type 1 (insulin-dependent) diabetic patients and nine healthy control subjects. Cell membranes from the diabetic patients showed a marked decrease in the total amount of polyunsaturated fatty acids (19.0% +/- 2.2 vs 24.6% +/- 1.4, p < 0.0001) mainly at the expense of docosahexaenoic acid C22:6(n3) (2.9% +/- 1.1 vs 5.3% +/- 1.3, p < 0.001), and arachidonic acid C20:4n6 (12.0% +/- 1.6 vs 15.1% +/- 0.6, p < 0.0005). Conversely, the total amount of saturated fatty acids was significantly increased (p < 0.05) and the polyunsaturated/saturated ratio was decreased in the Type 1 diabetic patients (p < 0.00 005). Neither the time from diagnosis, nor C-peptide levels, correlated with parameters indicating a poor metabolic control of Type 1 diabetes. However, C22:6(n-3) and total n-3 content significantly correlated with HbA1c (r = -0.79 and r = -0.88, respectively, p < 0.01), fructosamine (r = -0.71 and r = -0.74, respectively, p < 0.05), and Na+-K+ ATPase activity (maximal rate/Km quotient) (r = 0.78 and r = 0.71, respectively, p < 0.05). In conclusion we have found marked alterations of cell membrane lipid composition in Type 1 diabetic patients. These cell membrane abnormalities in lipid content were related to sodium transport systems and to poor metabolic control. Either diet, or the diabetic state, might be responsible for the observed cell membrane abnormalities. A dietary intervention study might differentiate the role of diet and diabetes in the reported cell membrane alterations.",,"Adult; Biological Transport; Cholesterol; Diabetes Mellitus, Type 1; Erythrocyte Membrane; Fatty Acids; Fatty Acids, Unsaturated; Female; Humans; Lipoproteins, HDL; Lipoproteins, LDL; Male; Membrane Lipids; Phospholipids; Reference Values; Sodium; Sodium-Potassium-Exchanging ATPase",Journal Article,Type 1 diabetes mellitus (disease); polyunsaturated fatty acids (chemical); saturated fatty acids (chemical); docosahexaenoic acid (DHA) (chemical); arachidonic acid (chemical); HbA1c (biomarker); Na+-K+ ATPase (protein); Na+-K+ ATPase activity (biological_process); metabolic control (clinical_outcome); Type 1 (insulin-dependent) diabetic (disease); erythrocyte membrane phospholipids (chemical); C22:6(n-3) (chemical); total n-3 content (chemical); C-peptide (biomarker); fructosamine (biomarker); sodium transport systems (biological_process); cell membrane abnormalities (disease),"(Type 1 diabetes mellitus, Negative_Correlation, polyunsaturated fatty acids); (Type 1 diabetes mellitus, Positive_Correlation, saturated fatty acids); (n-3 polyunsaturated fatty acids, Negative_Correlation, HbA1c); (n-3 polyunsaturated fatty acids, Positive_Correlation, Na+-K+ ATPase activity); (Type 1 (insulin-dependent) diabetic, Negative_Correlation, polyunsaturated fatty acids); (Type 1 (insulin-dependent) diabetic, Negative_Correlation, docosahexaenoic acid C22:6(n3)); (Type 1 (insulin-dependent) diabetic, Negative_Correlation, arachidonic acid C20:4n6); (Type 1 (insulin-dependent) diabetic, Positive_Correlation, saturated fatty acids); (C22:6(n-3), Negative_Correlation, HbA1c); (C22:6(n-3), Negative_Correlation, fructosamine); (C22:6(n-3), Positive_Correlation, Na+-K+ ATPase activity); (total n-3 content, Negative_Correlation, HbA1c); (total n-3 content, Negative_Correlation, fructosamine); (total n-3 content, Positive_Correlation, Na+-K+ ATPase activity); (cell membrane abnormalities, Association, sodium transport systems); (cell membrane abnormalities, Association, metabolic control)"
