pmid,pubmed_url,year,title,abstract,journal,keywords,mesh_terms,publication_types
18064633,https://pubmed.ncbi.nlm.nih.gov/18064633/,2008,Macrophage migration inhibitory factor (MIF) is necessary for progression of autoimmune diabetes mellitus.,"Macrophage migration inhibitory factor (MIF) is a proinflammatory cytokine of the innate immune system that plays a major role in the induction of immunoinflammatory responses. To examine the role of endogenous MIF in the pathogenesis of type 1 diabetes (TID) we evaluated the effects of administration of neutralizing anti-MIF antibodies to NOD mice with accelerated forms of diabetes induced by injection of cyclophosphamide or by transfer of diabetogenic spleen cells. Both accelerated forms of diabetes were markedly reduced by anti-MIF antibody. Furthermore, MIF-deficient (MIF(-/-)) mice were less susceptible to the induction of immunoinflammatory diabetes, insulitis and apoptosis within the endocrine pancreas by multiple low doses of streptozotocin (MLD-STZ) than genetically matched wild type (WT) mice. MIF deficiency resulted in lower proliferation and lymphocyte adhesion, as well as reduced production from the spleens and peritoneal cells of a variety of inflammatory mediators typically associated with development of the disease including IL-12, IL-23, TNF-alpha, and IL-1beta. Furthermore, MIF deletion affected the production of IL-18, TNF-alpha, IL-1beta, and iNOS in the islets of Langerhans. These data, along with the higher expression of IL-4 and TGF-beta observed in the periphery and in the pancreas of MLD-STZ-challenged MIF(-/-) mice as compared to WT controls suggest that MIF deficiency has induced an immune deviation towards protective type 2/3 response. These results suggest that MIF participates in T1D by controlling the functional activity of monocytes/macrophages and T cells and modulating their secretory capacity of pro- and anti-inflammatory molecules.",Journal of cellular physiology,,"Adoptive Transfer; Animals; Antibodies, Monoclonal; Cell Adhesion; Cell Proliferation; Cells, Cultured; Cyclophosphamide; Cytokines; Diabetes Mellitus, Experimental; Diabetes Mellitus, Type 1; Disease Progression; Female; Gene Expression Regulation; Intramolecular Oxidoreductases; Islets of Langerhans; Leukocytes, Mononuclear; Macrophage Migration-Inhibitory Factors; Mice; Mice, Inbred NOD; Nitric Oxide; Nitric Oxide Synthase Type II; RNA, Messenger; Spleen; Streptozocin; Tyrosine","Journal Article; Research Support, Non-U.S. Gov't"
18221426,https://pubmed.ncbi.nlm.nih.gov/18221426/,2008,"Trends of type 1 diabetes in Karachi, Pakistan.","OBJECTIVE: Our study aims to assess the presentation, prevalence, and associations of acute and chronic complications in subjects with type 1 diabetes mellitus (T1DM) at their first visit to outpatient departments. STUDY DESIGN AND SETTING: Study was carried out at two centers, Diabetic Association of Pakistan and WHO Collaborating Centre and Baqai Institute of Diabetology and Endocrinology, Karachi. Records of 591 T1DM subjects divided into two groups were studied. Group 1 (62.1%, n = 367) includes patients with known T1DM and group 2 (n = 224, 37.9%), newly diagnosed T1DM. Clinical features [polyuria, polydipsia, polyphagia, history of weight loss, and history of diabetic ketoacidosis (DKA)] were recorded. Biochemical parameters including fasting plasma glucose, 2-h postprandial plasma glucose, hemoglobin A1c, urinary ketones, and proteinuria were recorded. Arterial blood gases was done in suspected cases of DKA. RESULTS: In group 1, male predominance was seen (57.8 vs. 42.2%). Mean age at presentation was 19.1 +/- 10 yr. Mean duration of diabetes was 16 +/- 9 yr. Two percent subjects presented with DKA, while 21% had a history of DKA. Among the subjects with >10 yr of diabetes, 20.1% had hypertension, 5.5% had nephropathy, 2.9% had neuropathy, and 7.7% had retinopathy. In group 2, 224 T1DM subjects were identified, with mean age of 17 +/- 11 yr. Equal number of males (50.9%) and females (49.1%) were diagnosed at their first presentation. Most subjects (40.8%, n = 91) diagnosed between 11 and 20 yr of age presented with polyuria (81.3%), polydipsia (77.2%), polyphagia (56.7%), and weight loss (79.5%). Ketonuria was positive in 4.9%, while 5.8% presented with DKA. CONCLUSIONS: This is the first study in Pakistan to assess the mode of presentation and prevalence of acute and chronic complications in T1DM. Larger scale prospective studies are needed to have more detailed informative data.",Pediatric diabetes,,"Acute Disease; Adolescent; Blood Glucose; Child; Child, Preschool; Chronic Disease; Diabetes Complications; Diabetes Mellitus, Type 1; Female; Glycated Hemoglobin; Humans; Incidence; Infant; Male; Pakistan; Prevalence; Young Adult",Comparative Study; Journal Article
19250572,https://pubmed.ncbi.nlm.nih.gov/19250572/,2009,Some similarities in dietary clusters of pre-school children and their mothers.,"The diet of pre-school children is determined by the parents and carers. The aim of the present study was to describe dietary clusters of pre-school children and their mothers in Finland, and analyse the similarity of dietary clusters within child-mother pairs. The present study comprised the mothers (n 4862) whose child was recruited in the Type 1 Diabetes Prediction and Prevention Nutrition Study and the children belonging to selected, cross-sectional age groups of 1 year (n 719), 3 years (n 708) and 6 years (n 841). The dietary data were collected from children by 3-d food records and from mothers by a FFQ validated for pregnant women. The food consumption data were analysed for patterns by hierarchical cluster analysis. Three main dietary clusters were identified in children: 'healthy' and 'traditional' in all three age groups, and 'ready-to-eat baby foods' in 1-year-olds and 'fast foods, sweet' in the older children. Six main clusters were identified among the mothers who completed a FFQ for their diet during pregnancy. Some familial dependence between dietary clusters of mother-child pairs was observed in 6-year-old children but not in younger children. Younger age and lower educational level of the mother were associated with the cluster 'fast food, sweet' only at the age of 3 years. The diets of pre-school children vary by age and only a slight similarity within dietary clusters of mother-child pairs was observed.",The British journal of nutrition,,"Adult; Child; Child Nutritional Physiological Phenomena; Child, Preschool; Cluster Analysis; Cross-Sectional Studies; Diabetes Mellitus, Type 1; Diet; Educational Status; Female; Finland; Genetic Predisposition to Disease; Humans; Infant; Infant Food; Infant, Newborn; Male; Mothers; Nutrition Surveys; Pregnancy; Social Class","Journal Article; Research Support, Non-U.S. Gov't"
20690982,https://pubmed.ncbi.nlm.nih.gov/20690982/,2010,Inhibition of endothelin-1 receptors improves impaired nitric oxide synthase-dependent dilation of cerebral arterioles in type-1 diabetic rats.,"OBJECTIVE: Endothelin-1 has been implicated in the pathogenesis of many cardiovascular-related diseases, including diabetes. The goal of this study was to examine the influence of endothelin-1 receptors (ET(A)) in impaired responses of cerebral (pial) arterioles in type-1 diabetic rats. METHODS: We measured responses of cerebral arterioles in non-diabetic rats to endothelial nitric oxide synthase (eNOS)-dependent (ADP), neuronal nitric oxide synthase (nNOS)-dependent (N-methyl-d-aspartic acid [NMDA]) and NOS-independent (nitroglycerin) agonists before and during application of BQ-123, an ET(A) receptor antagonist. In addition, we harvested brain tissue from non-diabetic and diabetic rats to measure the production of superoxide anion under basal conditions and during inhibition of ET(A) receptors. RESULTS: We found that diabetes specifically impaired eNOS- and nNOS-dependent reactivity of cerebral arterioles, but did not alter NOS-independent vasodilation. In addition, while BQ-123 did not alter responses in non-diabetic rats, BQ-123 restored impaired eNOS- and nNOS-dependent vasodilation in diabetic rats. Further, superoxide production was higher in brain tissue from diabetic rats compared with non-diabetic rats under basal conditions and BQ-123 decreased basal production of superoxide in diabetic rats. CONCLUSION: We suggest that activation of ET(A) receptors during type-1 diabetes mellitus plays an important role in impaired eNOS- and nNOS-dependent dilation of cerebral arterioles.","Microcirculation (New York, N.Y. : 1994)",,"Adenosine Diphosphate; Animals; Arterioles; Diabetes Mellitus, Type 1; Endothelin A Receptor Antagonists; Male; N-Methylaspartate; Nitric Oxide Synthase; Nitric Oxide Synthase Type I; Nitric Oxide Synthase Type III; Peptides, Cyclic; Pia Mater; Rats; Rats, Sprague-Dawley; Receptor, Endothelin A; Vasodilation","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
21734072,https://pubmed.ncbi.nlm.nih.gov/21734072/,2011,Insulinoma-released exosomes or microparticles are immunostimulatory and can activate autoreactive T cells spontaneously developed in nonobese diabetic mice.,"Exosomes (EXO) are secreted intracellular microparticles that can trigger inflammation and induce Ag-specific immune responses. To test possible roles of EXO in autoimmunity, we isolated small microparticles, mainly EXO, from mouse insulinoma and examined their activities to stimulate the autoimmune responses in NOD mice, a model for human type 1 diabetes. We demonstrate that the EXO contains strong innate stimuli and expresses candidate diabetes autoantigens. They can induce secretion of inflammatory cytokines through a MyD88-dependent pathway, and activate purified APC and result in T cell proliferation. To address whether EXO or the secreted microparticles are possible autoimmune targets causing islet-specific inflammation, we monitored the T cell responses spontaneously developed in prediabetic NOD mice for their reactivity to the EXO, and compared this reactivity between diabetes-susceptible and -resistant congenic mouse strains. We found that older NOD females, which have advanced islet destruction, accumulated more EXO-reactive, IFN-γ-producing lymphocytes than younger females or age-matched males, and that pancreatic lymph nodes from the prediabetic NOD, but not from the resistant mice, were also enriched with EXO-reactive Th1 cells. In vivo, immunization with the EXO accelerates insulitis development in nonobese diabetes-resistant mice. Thus, EXO or small microparticles can be recognized by the diabetes-associated autoreactive T cells, supporting that EXO might be a possible autoimmune target and/or insulitis trigger in NOD or congenic mouse strains.","Journal of immunology (Baltimore, Md. : 1950)",,"Animals; Antigen-Presenting Cells; Cell Line, Tumor; Cell-Derived Microparticles; Diabetes Mellitus, Experimental; Diabetes Mellitus, Type 1; Exosomes; Female; Humans; Insulin-Secreting Cells; Insulinoma; Lymphocyte Activation; Male; Mice; Mice, Inbred NOD; Mice, SCID; Myeloid Differentiation Factor 88; Sex Characteristics; Th1 Cells","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
22869154,https://pubmed.ncbi.nlm.nih.gov/22869154/,2012,Harnessing the immunomodulatory and tissue repair properties of mesenchymal stem cells to restore β cell function.,"Islet cell transplantation has therapeutic potential to cure type 1 diabetes (T1D), which is characterized by autoimmune-mediated destruction of insulin-producing β cells. However, current success rates are limited by long-term decline in islet graft function resulting partially from poor revascularization and immune destruction. Mesenchymal stem cells (MSCs) have the potential to enhance islet transplantation and prevent disease progression by a multifaceted approach. MSCs have been shown to be effective at inhibiting inflammatory-mediated immune responses and at promoting tissue regeneration. The immunomodulatory and tissue repairing properties of MSCs may benefit β cell regeneration in the context of T1D. This review will elucidate how MSCs can minimize β cell damage by providing survival signals and simultaneously modulate the immune response by inhibiting activation, and proliferation of several immune cell types. In addition, MSCs can enhance islet graft revascularization, maintaining long-term β cell viability and function.",Current diabetes reports,,"Animals; Diabetes Mellitus, Type 1; Humans; Insulin-Secreting Cells; Islets of Langerhans Transplantation; Mesenchymal Stem Cells","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Review"
23165573,https://pubmed.ncbi.nlm.nih.gov/23165573/,2012,Dietary intake increases serum levels of carboxymethil-lysine (CML) in diabetic patients.,"INTRODUCTION: Advanced glycation end products are produced endogenously, in association with hyperglycemia and oxidative stress. They can also be generated during cooking or food processing and, once absorbed, alter protein function and promote inflammation. METHODS: We selected 40 healthy male subjects, 17 patients with type 2 diabetes of both sexes and 15 patients with type 1 diabetes of both sexes. Each participant underwent both a food frequency questionnaire (FFQ) and 24-hour dietary recall specially adapted for measuring CML intake, anthropometry, measurement of blood pressure and biochemical parameters in blood and urine. RESULTS: Serum CML levels were significantly higher in patients with diabetes compared to healthy subjects (p 0.04), showing a direct relationship between dietary intake and serum levels of CML in T2D patients (r 0.53 p 0.03). sCML levels correlated positively with length of diabetes mellitus, and inversely with body mass index (BMI). The most important dietary factor contributing to raise CML levels in these patients with diabetes was the consumption of milk powder. CONCLUSION: Serum levels of CML were found to be higher among diabetic subjects, associated to length of diabetes as expected, but also with the ingestion of foods containing higher amounts of ML. The consumption of milk powder in this group is a major determinant of increased serum levels.",Nutricion hospitalaria,,"Adult; Aged; Aged, 80 and over; Anthropometry; Blood Pressure; Body Mass Index; Dairy Products; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Diet; Eating; Female; Food; Humans; Lysine; Male; Middle Aged; Young Adult",Journal Article
22560944,https://pubmed.ncbi.nlm.nih.gov/22560944/,2013,Risk factor modification in diabetic patients following angiographic identification of multi-vessel disease.,"There is little information on whether identification of multi-vessel disease (MVD) in patients with diabetic mellitus (DM) affects risk factor management. From 1125 consecutively screened patients between June 2006 and March 2010, we examined 227 diabetic patients with MVD on coronary angiography. Diabetic control and cholesterol levels were assessed by glycated haemoglobin (HbA1c) and total cholesterol (TC) respectively which were evaluated at baseline and at 1-year follow-up. Patients were grouped by age into <55(n=33), 55-65(n=75), 66-75(n=75) and >75(n=44). Target levels were defined as HbA1c<7% and TC<4.0 mmol/L. Patients <55 years had the highest HbA1c at 9.1[7.6-11.2]% with the lowest proportion of patients (n=3; 11.1%) within target at baseline, while 66-75 years had the best HbA1c at 7.1[6.4-7.8]% with the highest proportion (n=28, 45.2%) reaching target (p<0.0001). At 1-year, the poorest HbA1c control was again observed in the age <55 with fewer patients achieving target compared to the 66-75 age group (HbA1c: 8.5% vs 6.9%; % of patients at target: 20.7% vs 54.5%; p<0.0001). Furthermore, the group <55 years demonstrated the worst TC control at 1-year with a significant increase compared to the baseline TC (p=0.01). Patients with a lower body mass index (BMI) were likely to have an improvement in HbA1c and reach target (p=0.01). Paradoxically, patients who were current smokers demonstrated a beneficial effect on optimal TC control (29.2% vs 15.4%, p=0.027). In younger diabetic patients, risk factor modification at 1-year was poor despite identification of MVD. Developing an effective education and monitoring programme to improve glycaemic control in this high risk group should be a priority.",International journal of cardiology,Cardiovascular events; Coronary heart disease; Diabetes mellitus; Multi-vessel disease; Risk factor modification,"Aged; Aged, 80 and over; Coronary Angiography; Coronary Artery Disease; Cross-Sectional Studies; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Female; Follow-Up Studies; Humans; Male; Middle Aged; Risk Factors","Journal Article; Research Support, Non-U.S. Gov't"
24003923,https://pubmed.ncbi.nlm.nih.gov/24003923/,2013,Candidate genes for type 1 diabetes modulate pancreatic islet inflammation and β-cell apoptosis.,"Genome-wide association studies (GWAS) have identified more than 50 loci associated with genetic risk of type 1 diabetes (T1D). Several T1D candidate genes have been suggested or identified within these regions, but the molecular mechanisms by which they contribute to insulitis and β-cell destruction remain to be clarified. More than 60% of the T1D candidate genes are expressed in human pancreatic islets, suggesting that they contribute to T1D by regulating at least in part pathogenic mechanisms at the β-cell level. Recent studies by our group indicate that important genetically regulated pathways in β-cells include innate immunity and antiviral activity, involving RIG-like receptors (particularly MDA5) and regulators of type I IFNs (i.e. PTPN2 and USP18), and genes related to β-cell phenotype and susceptibility to pro-apoptotic stimuli (i.e. GLIS3). These observations reinforce the concept that the early pathogenesis of T1D is characterized by a dialogue between the immune system and pancreatic β-cells. This dialogue is probably influenced by polymorphisms in genes expressed at the β-cell and/or immune system level, leading to inadequate responses to environmental cues such as viral infections. Further studies are needed to clarify how these disease-associated variants affect pancreatic β-cell responses to inflammation and the subsequent triggering of autoimmune responses and progressive β-cell loss.","Diabetes, obesity & metabolism",apoptosis; candidate genes; cytokines; inflammation; pancreatic β-cells; type 1 diabetes,"Apoptosis; Autoimmunity; Diabetes Mellitus, Type 1; Gene Expression Regulation; Genetic Association Studies; Humans; Inflammation; Insulin-Secreting Cells; Islets of Langerhans","Journal Article; Research Support, Non-U.S. Gov't; Review"
25170024,https://pubmed.ncbi.nlm.nih.gov/25170024/,2014,"VSEAMS: a pipeline for variant set enrichment analysis using summary GWAS data identifies IKZF3, BATF and ESRRA as key transcription factors in type 1 diabetes.","MOTIVATION: Genome-wide association studies (GWAS) have identified many loci implicated in disease susceptibility. Integration of GWAS summary statistics (P-values) and functional genomic datasets should help to elucidate mechanisms. RESULTS: We extended a non-parametric SNP set enrichment method to test for enrichment of GWAS signals in functionally defined loci to a situation where only GWAS P-values are available. The approach is implemented in VSEAMS, a freely available software pipeline. We use VSEAMS to identify enrichment of type 1 diabetes (T1D) GWAS associations near genes that are targets for the transcription factors IKZF3, BATF and ESRRA. IKZF3 lies in a known T1D susceptibility region, while BATF and ESRRA overlap other immune disease susceptibility regions, validating our approach and suggesting novel avenues of research for T1D. AVAILABILITY AND IMPLEMENTATION: VSEAMS is available for download (http://github.com/ollyburren/vseams).","Bioinformatics (Oxford, England)",,"Basic-Leucine Zipper Transcription Factors; Diabetes Mellitus, Type 1; Genome-Wide Association Study; Humans; Ikaros Transcription Factor; Polymorphism, Single Nucleotide; Receptors, Estrogen; Sample Size; Software; Transcription Factors; ERRalpha Estrogen-Related Receptor","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
25892491,https://pubmed.ncbi.nlm.nih.gov/25892491/,2015,Engineering β-cell islets or islet-like structures for type 1 diabetes treatment.,"Type 1 diabetes mellitus is a disease characterized by the destruction of the β-cells in the pancreatic islets of Langerhans. The current primary treatment for type 1 diabetes is insulin injections administered multiple times throughout the day. However, this treatment cannot provide sustained physiological release of insulin and the insulin amount is not finely tuned to the glycemia condition. Pancreatic transplantation or islet transplantation would be the preferred treatment strategy but the lack of donor tissue and immunoincompatibility has been shown to be a roadblock to their widespread use. Bioengineering strategies are poised to combat these challenges. Islet encapsulation is expected to offer both immunoisolation and immunomodulation effects by: (1) physically protecting islets from the attacks of immunoglobulins, complements, and host immune cells, and (2) delivering immune regulatory and immunomodulatory factors locally to the islets to protect those islets from immune rejection. Semi-permeable coatings using biocompatible biomaterials can be used for immunoisolating islets away from the host immune systems. Immunoisolation technology also provides an opportunity to use other cell sources for cell therapy to treat type 1 diabetes. Recently, some studies reported that co-transplantation of islets with mesenchymal stem cells (MSCs) can control graft inflammation. MSCs have immunomodulatory property. They are able to secrete anti-inflammatory factors and repress the activity of various immune cells. Growth factors like interleukin 10 (IL-10) and leukemia inhibitory factor (LIF) also have immune regulatory properties. Therefore immunoisolation and immunomodulation technologies can be integrated and applied to β-cell encapsulation for the treatment of type 1 diabetes. Through engineering β-cell islets or islet-like microtissues, the viability and function of transplanted β-cells may be improved. In the meantime, the survival of transplanted β-cells can be further improved by promoting vascular network formation surrounding the transplanted islets or microtissues.",Medical hypotheses,,"Diabetes Mellitus, Type 1; Humans; Islets of Langerhans","Journal Article; Research Support, Non-U.S. Gov't"
26432895,https://pubmed.ncbi.nlm.nih.gov/26432895/,2015,Targeting Anti-Insulin B Cell Receptors Improves Receptor Editing in Type 1 Diabetes-Prone Mice.,"Autoreactive B lymphocytes that commonly arise in the developing repertoire can be salvaged by receptor editing, a central tolerance mechanism that alters BCR specificity through continued L chain rearrangement. It is unknown whether autoantigens with weak cross-linking potential, such as insulin, elicit receptor editing, or whether this process is dysregulated in related autoimmunity. To resolve these issues, we developed an editing-competent model in which anti-insulin Vκ125 was targeted to the Igκ locus and paired with anti-insulin VH125Tg. Physiologic, circulating insulin increased RAG-2 expression and was associated with BCR replacement that eliminated autoantigen recognition in a proportion of developing anti-insulin B lymphocytes. The proportion of anti-insulin B cells that underwent receptor editing was reduced in the type 1 diabetes-prone NOD strain relative to a nonautoimmune strain. Resistance to editing was associated with increased surface IgM expression on immature (but not transitional or mature) anti-insulin B cells in the NOD strain. The actions of mAb123 on central tolerance were also investigated, because selective targeting of insulin-occupied BCR by mAb123 eliminates anti-insulin B lymphocytes and prevents type 1 diabetes. Autoantigen targeting by mAb123 increased RAG-2 expression and dramatically enhanced BCR replacement in newly developed B lymphocytes. Administering F(ab')2123 induced IgM downregulation and reduced the frequency of anti-insulin B lymphocytes within the polyclonal repertoire of VH125Tg/NOD mice, suggesting enhanced central tolerance by direct BCR interaction. These findings indicate that weak or faulty checkpoints for central tolerance can be overcome by autoantigen-specific immunomodulatory therapy.","Journal of immunology (Baltimore, Md. : 1950)",,"Animals; Antibodies, Monoclonal; Autoantigens; Autoimmunity; B-Lymphocytes; DNA-Binding Proteins; Diabetes Mellitus, Type 1; Immune Tolerance; Immunoglobulin M; Immunoglobulin kappa-Chains; Immunomodulation; Insulin; Mice; Mice, Inbred C57BL; Mice, Inbred NOD; Molecular Sequence Data; Receptors, Antigen, B-Cell","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
26982011,https://pubmed.ncbi.nlm.nih.gov/26982011/,2016,Novel Management of Insulin Autoimmune Syndrome with Rituximab and Continuous Glucose Monitoring.,"CONTEXT: Insulin autoimmune syndrome (IAS), or Hirata's disease, is a rare hypoglycemic disorder characterized by spontaneous hypoglycemia without evidence of exogenous insulin administration, a high serum concentration of total immunoreactive insulin, and the presence of insulin autoantibodies in high titer. The majority of cases occur in the Asian population, and treatment is generally successful with watchful waiting or steroids. CASE DESCRIPTION: We report the case of a 71-year-old Caucasian man with severe hypoglycemia due to IAS that was refractory to a prolonged course of high-dose steroids. Type 1 diabetes prevention trials using rituximab have shown selective suppression of insulin autoantibodies, which are the pathogenic antibodies in IAS, and therefore we provided this therapy. Treatment with two doses of rituximab and daily use of a continuous glucose monitor resulted in disease remission. CONCLUSION: We present the first case where potentially life-threatening hypoglycemia due to IAS was successfully managed with rituximab and a continuous glucose monitor. We conclude that these treatment modalities are effective for the management of severe, refractory IAS.",The Journal of clinical endocrinology and metabolism,,Aged; Autoimmune Diseases; Blood Glucose; Blood Glucose Self-Monitoring; Humans; Hypoglycemia; Immunologic Factors; Insulin; Insulin Antibodies; Male; Rituximab; Treatment Outcome,Case Reports; Journal Article
28053319,https://pubmed.ncbi.nlm.nih.gov/28053319/,2017,Pre-diagnostic genotyping identifies T1D subjects with impaired Treg IL-2 signaling and an elevated proportion of FOXP3+IL-17+ cells.,"T-regulatory cells (Tregs) are essential for immune tolerance, and animal studies implicate their dysfunction in type 1 diabetes (T1D) pathogenesis. Tregs require interleukin-2 (IL-2) for their suppressive function, and variants in IL-2/IL-2R pathway genes have been associated with T1D. We previously reported that recent-onset T1D subjects have an increased population of FOXP3lo Tregs that secrete the pro-inflammatory cytokine, interleukin-17 (IL-17). We hypothesize that IL-2 signaling defects may drive T1D development by skewing protective Tregs towards an inflammatory Th17 phenotype. Overall, we found that the proportion of FOXP3+IL-17+ cells in T1D subjects pre-diagnosis was unchanged compared with healthy controls. However, stratification by IL2RA single-nucleotide polymorphisms revealed that T1D subjects with the rs3118470 CC risk variant have Tregs with IL-2 signaling defects and an increased proportion of FOXP3+IL-17+ cells before diagnosis. These data suggest a potential mechanism for genetically controlled loss of Treg function via dysfunctional IL-2 signaling in T1D.",Genes and immunity,,"Biomarkers; Diabetes Mellitus, Type 1; Flow Cytometry; Forkhead Transcription Factors; Genotype; Humans; Immune Tolerance; Interleukin-17; Interleukin-2; Prognosis; Signal Transduction; T-Lymphocytes, Regulatory; Th17 Cells","Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural"
28615632,https://pubmed.ncbi.nlm.nih.gov/28615632/,2017,Genome-wide analysis suggests a differential microRNA signature associated with normal and diabetic human corneal limbus.,"Small non-coding RNAs, in particular microRNAs (miRNAs), regulate fine-tuning of gene expression and can impact a wide range of biological processes. However, their roles in normal and diseased limbal epithelial stem cells (LESC) remain unknown. Using deep sequencing analysis, we investigated miRNA expression profiles in central and limbal regions of normal and diabetic human corneas. We identified differentially expressed miRNAs in limbus vs. central cornea in normal and diabetic (DM) corneas including both type 1 (T1DM/IDDM) and type 2 (T2DM/NIDDM) diabetes. Some miRNAs such as miR-10b that was upregulated in limbus vs. central cornea and in diabetic vs. normal limbus also showed significant increase in T1DM vs. T2DM limbus. Overexpression of miR-10b increased Ki-67 staining in human organ-cultured corneas and proliferation rate in cultured corneal epithelial cells. MiR-10b transfected human organ-cultured corneas showed downregulation of PAX6 and DKK1 and upregulation of keratin 17 protein expression levels. In summary, we report for the first time differential miRNA signatures of T1DM and T2DM corneal limbus harboring LESC and show that miR-10b could be involved in the LESC maintenance and/or their early differentiation. Furthermore, miR-10b upregulation may be an important mechanism of corneal diabetic alterations especially in the T1DM patients.",Scientific reports,,"Adult; Aged; Aged, 80 and over; Biomarkers; Cells, Cultured; Computational Biology; Diabetes Mellitus; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Female; Gene Expression Profiling; Gene Expression Regulation; Gene Ontology; Genome-Wide Association Study; High-Throughput Screening Assays; Humans; Limbus Corneae; Male; MicroRNAs; Middle Aged; Organ Culture Techniques; RNA Interference; Reproducibility of Results; Transcriptome","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
30400063,https://pubmed.ncbi.nlm.nih.gov/30400063/,2018,"Soluble CD163 was linked to galectin-3, diabetic retinopathy and antidepressants in type 1 diabetes.","OBJECTIVE: Depression has been associated with diabetic retinopathy and increased plasma levels of galectin-3, a lectin expressed in activated macrophages. Increased levels of sCD163, the soluble form of a macrophage expressed scavenger receptor involved in several inflammatory processes, have been demonstrated in the vitreous of the eye in type 1 diabetes (T1D) patients with severe diabetic retinopathy. The aim was to explore whether circulating sCD163 was associated with diabetic retinopathy, depression and/or galectin-3 in T1D patients, controlling for gender, metabolic factors, other diabetes complications, life style and medication. DESIGN: Cross sectional. METHODS: Two hundred eighty-seven T1D patients, men 56%, age 18-59 years, diabetes duration ≥1 year, were consecutively recruited from one specialist diabetes clinic. Depression was assessed by Hospital Anxiety and Depression Scale-Depression subscale. Blood samples, anthropometrics and blood pressure values were collected, supplemented with data from electronic medical records and the Swedish National Diabetes Registry. High plasma sCD163 was defined as ≥0.575 mg/L (corresponding to the 80th percentile) and high plasma galectin-3 as ≥4.659 µg/L (corresponding to the 95th percentile). RESULTS: The prevalence of depression was 10%, antidepressant medication 8%, diabetic retinopathy 72%, high sCD163 20% and high galectin 3 5%. High galectin-3 (AOR 9.7), antidepressants (AOR 3.8), diabetic retinopathy (AOR 2.4) and systolic blood pressure (per mmHg) (AOR 1.03) were associated with high sCD163. CONCLUSIONS: This is the first study to show that circulating sCD163 was independently associated with galectin-3, the use of antidepressants and diabetic retinopathy, in patients with T1D. Depression was not associated with sCD163.",Endocrine connections,antidepressants; biomarkers; depression; diabetic retinopathy; galectin-3; inflammation; sCD163; type 1 diabetes,,Journal Article
31223511,https://pubmed.ncbi.nlm.nih.gov/31223511/,2019,Giant Vulvar Condylomata: Two Cases and a Review of the Literature.,INTRODUCTION: Giant vulvar condyloma is usually associated with the HPV subtypes 6 and 11 and is characterized by excessive growth of verrucous lesions on the genitals and/or perianal region. It may be observed in sexually inactive as well as sexually active women. Immunosuppression plays an important role in the development of the disease. PATIENTS AND METHODS: We report two cases of giant vulvar condyloma together with the review of the literature. RESULTS: One case was a 21-year old sexually inactive woman with a history of Type 1 Diabetes. Second case was a 20-year-old sexually active woman with a rapidly progressing disease and cervical dysplasia. Both cases were operated; all the condylomatous structures were resected with preservation of the anatomy and clitoral innervation and blood flow. Skin and subcuticular dehiscence was the only complication encountered in the first case. CONCLUSION: Main treatment of giant vulvar condyloma is surgical resection with maintenance of the vulvar anatomy. Preservation of especially the clitoral innervation as much as possible is very important.,Case reports in obstetrics and gynecology,,,Case Reports; Journal Article
31752036,https://pubmed.ncbi.nlm.nih.gov/31752036/,2019,[Non-occlusive Mesenteric Ischemia caused by Diabetic Ketoacidosis - Pneumatosis intestinalis and Portal Venous Gas as an Indication of Mesenteric Ischemia].,"HISTORY: A 67-year-old woman was found lying naked on the bathroom floor for at least the last 12 hours. She had a medical history of insulin-dependent diabetes mellitus type 2 and a resection of the cecal pole. EXAMINATIONS: The patient was hypotonic (60/40 mmHg), hypothermic (29 °C) and hyperglycemic. The bowel sounds were sparse. There was a severe metabolic acidosis (pH 6.7). A Urinalysis showed a high concentration of ketone bodies. An abdominal ultrasonography revealed air reflexes in the liver parenchyma. A computer tomography was used to diagnose an acute mesenteric ischemia (AMI) with pneumatosis intestinalis and portal venous gas. TREATMENT: In an exploratory laparotomy the finding of necrotic bowl made it necessary to resect 160 cm of the small intestine as well as the remaining ileum and right hemikolon during a second surgery on the following day. Histopathologically there was no evidence for an occlusive genesis in the resected specimen. CONCLUSION: The clinic of the AMI is manifold - with fatal consequences in case of delayed diagnosis. Serum parameters are often overestimated. In this case report a diabetic coma was responsible for the AMI. The diagnosis was based on sonographic imaging followed by computed tomography, so that the life-saving operation could be performed. Therefore, sonography should be considered as a mandatory examination of critically ill patients.",Deutsche medizinische Wochenschrift (1946),,"Abdomen; Aged; Coma; Diabetic Ketoacidosis; Female; Humans; Mesenteric Ischemia; Pneumatosis Cystoides Intestinalis; Tomography, X-Ray Computed",Case Reports; Journal Article
